text,topic
"Mauresmo, Davenport Advance to Finals of Porche Grand Prix World number one women #39;s tennis player Amelie Mauresmo of France and number two Lindsay Davenport of the United States have advanced to the finals of the Porsche Grand Prix tournament in Filderstadt, Germany.",Sports
"No retreat on Iraq, Bush vows UNITED NATIONSThe United States will stick to its guns in Iraq, despite increasing violence, US President George W. Bush vowed yesterday.",World
"NASA's Moon-Mars Initiative Harms Science: American Physical Society Report (SPACE.com) SPACE.com - A new report released by an American\Physical Society (APS) Special Committee on NASA Funding for Astrophysics has\questioned the space agency's Moon, Mars and Beyond initiative. The APS\assessment warns that t  he cost of overcoming technological\challenges to make real the plan could far exceed budgetary projections and that\numerous nbsp;approved science programs could be jeopardized.",Sci/Tech
New push to stop child soldiers A report released Wednesday shows commitment by 85 countries to end the practice - but enforcement still lags. By Mike Crawley  Correspondent of The Christian Science Monitor.,World
Brown Rejoins Wizards Wizards forward Kwame Brown returns to practice following his one-game suspension for conduct detrimental to the team last Wednesday.,Sports
"US, Iraq to probe missing N-equipment Washington has said it will join Baghdad in a full investigation into missing machinery from Iraq #39;s nuclear facilities, and Iraq #39;s science minister has invited UN inspectors to the country.",World
RadioShack to run Sam #39;s Club kiosks CHICAGO (CBS.MW) -- RadioShack Corp. said Monday that it is selling mobile phones at more than 500 Sam #39;s Club locations to drum up sales and stretch its lead in wireless retailing.,Business
"E. German Voters Turning to Fringe Groups (AP) AP - Parties on the fringes of Germany's political spectrum have been given an eager reception in the depressed east ahead of state elections this weekend, luring voters with a mix of xenophobic standards and new complaints over plans to reduce much-needed benefits.",World
BNP leader detained on racism-linked charge (AFP) AFP - British National Party (BNP) leader Nick Griffin was arrested on suspicion of incitement to commit racial hatred.,World
"Samsung develops high-capacity smart card chip Samsung Electronics Co. Ltd. has begun producing a smart card IC (integrated circuit) chip that the company claims contains a larger amount of erasable and programmable memory than those of competitors, it said in a statement on Tuesday.",Sci/Tech
"SEC Seeks Accounting Information from GM and Ford US regulators asked automotive giants General Motors Corp. and Ford Motor Co. for information on how they account for pension and health care plans, the companies said on Tuesday.",Business
Lawmakers drop massive Boeing tanker agreement WASHINGTON - Congressional negotiators decided to pull the plug on a Boeing Co. tanker deal as part of an agreement on a massive defense bill.,Business
